published_date,location,home_type,price,area,bedroom,wc,legal_status,furniture
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.03923575295730509,0.12094395280235988,0.1111111111111111,0.07142857142857142,có sổ đỏ/sổ hồng,Không có - Thiếu
07/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.039740886630829114,0.15634218289085547,0.2222222222222222,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
07/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,0.07964644683922707,0.2713864306784661,0.3333333333333333,0.21428571428571427,không có - Thiếu,Không có - Thiếu
07/10/2025,"Tây Hồ, Hà Nội",nhà riêng,0.08570805092151537,0.08849557522123894,0.3333333333333333,0.21428571428571427,không có - Thiếu,Không có - Thiếu
07/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,0.10843906623009648,0.4469026548672566,0.3333333333333333,0.21428571428571427,có sổ đỏ/sổ hồng,Không có - Thiếu
07/10/2025,"Đan Phượng, Hà Nội","nhà biệt thự, liền kề",0.1826937162381281,0.35103244837758113,0.3333333333333333,0.21428571428571427,không có - Thiếu,Không có - Thiếu
07/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,0.11096473459771661,0.12389380530973451,0.1111111111111111,0.07142857142857142,không có - Thiếu,Cơ bản
07/10/2025,"Hoàn Kiếm, Hà Nội",nhà riêng,0.20188879583204103,0.1592920353982301,0.3333333333333333,0.21428571428571427,có sổ đỏ/sổ hồng,Cơ bản
06/10/2025,"Long Biên, Hà Nội",căn hộ chung cư,0.11096473459771661,0.14454277286135694,0.1111111111111111,0.21428571428571427,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,0.061461634592362174,0.2368731563421829,0.2222222222222222,0.14285714285714285,không có - Thiếu,Cơ bản
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,0.11096473459771661,0.20943952802359883,0.3333333333333333,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.03519468356911289,0.12389380530973451,0.1111111111111111,0.07142857142857142,không có - Thiếu,Cơ bản
06/10/2025,"Gia Lâm, Hà Nội",căn hộ chung cư,0.11096473459771661,0.0823008849557522,0.1111111111111111,0.07142857142857142,không có - Thiếu,Cơ bản
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.04024602030435314,0.17699115044247787,0.2222222222222222,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.031961828058559134,0.12389380530973451,0.2222222222222222,0.14285714285714285,không có - Thiếu,Cơ bản
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,0.06550270398055437,0.212094395280236,0.2222222222222222,0.14285714285714285,không có - Thiếu,Không có - Thiếu
06/10/2025,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,0.09480045704494781,0.41002949852507375,0.4444444444444444,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Hoàng Mai, Hà Nội",nhà riêng,0.08924398663618353,0.08849557522123894,0.5555555555555556,0.2857142857142857,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Đông Anh, Hà Nội","nhà biệt thự, liền kề",0.2362378856316747,0.2182890855457227,0.3333333333333333,0.21428571428571427,có sổ đỏ/sổ hồng,Không có - Thiếu
06/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,0.11096473459771661,0.20058997050147492,0.2222222222222222,0.14285714285714285,không có - Thiếu,Đầy đủ
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,0.06297703561293425,0.20943952802359883,0.2222222222222222,0.14285714285714285,có sổ đỏ/sổ hồng,Không có - Thiếu
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.05540003051007388,0.15710914454277286,0.2222222222222222,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Gia Lâm, Hà Nội","shophouse, nhà phố thương mại",0.12611874480343735,0.21386430678466076,0.5555555555555556,0.2857142857142857,không có - Thiếu,Cơ bản
06/10/2025,"Hai Bà Trưng, Hà Nội",căn hộ chung cư,0.08065671418627511,0.2920353982300885,0.3333333333333333,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.023071475404536298,0.0855457227138643,0.1111111111111111,0.07142857142857142,có sổ đỏ/sổ hồng,Không có - Thiếu
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,0.06550270398055437,0.21238938053097345,0.2222222222222222,0.14285714285714285,không có - Thiếu,Đầy đủ
06/10/2025,"Thanh Xuân, Hà Nội",căn hộ chung cư,0.06408832969468711,0.23008849557522124,0.2222222222222222,0.14285714285714285,không có - Thiếu,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.031557721119739916,0.12389380530973451,0.2222222222222222,0.14285714285714285,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Nam Từ Liêm, Hà Nội",căn hộ chung cư,0.0250920100986324,0.08141592920353982,0.1111111111111111,0.07142857142857142,có sổ đỏ/sổ hồng,Đầy đủ
06/10/2025,"Hà Đông, Hà Nội",căn hộ chung cư,0.07661564479808292,0.24719764011799408,0.2222222222222222,0.14285714285714285,không có - Thiếu,Đầy đủ
06/10/2025,"Cầu Giấy, Hà Nội",căn hộ chung cư,0.11096473459771661,0.27728613569321536,0.3333333333333333,0.14285714285714285,không có - Thiếu,Không có - Thiếu
